latency,average,timestamp,callback_time
11179264,22.496424,1743572616753146112,1743572616764325376
9969408,22.494644,1743572616815309824,1743572616825279232
10419712,22.482230,1743572616877060352,1743572616887480064
11471104,22.477863,1743572616940741888,1743572616952212992
9121024,22.480376,1743572617002720512,1743572617011841536
9770240,22.475840,1743572617064371712,1743572617074141952
10757632,22.476748,1743572617128100352,1743572617138857984
9886464,22.463190,1743572617190334208,1743572617200220672
13374976,22.473140,1743572617251271424,1743572617264646400
10929408,22.470130,1743572617312936960,1743572617323866368
11118080,22.474639,1743572617376473088,1743572617387591168
10593536,22.486692,1743572617440067584,1743572617450661120
9624832,22.472758,1743572617503825664,1743572617513450496
12000768,22.480993,1743572617567768064,1743572617579768832
9713408,22.487671,1743572617631297280,1743572617641010688
9163520,22.491441,1743572617692649216,1743572617701812736
9639168,22.489868,1743572617754854144,1743572617764493312
10656256,22.491918,1743572617816622080,1743572617827278336
9627904,22.489140,1743572617879287552,1743572617888915456
13271040,22.501239,1743572617941645056,1743572617954916096
9439488,22.501992,1743572618004560896,1743572618014000384
10276352,22.498565,1743572618067889664,1743572618078166016
10685440,22.497413,1743572618130587392,1743572618141272832
9565952,22.489995,1743572618194112768,1743572618203678720
11349248,22.485396,1743572618256760320,1743572618268109568
10585088,22.488169,1743572618320642304,1743572618331227392
8926720,22.487667,1743572618382836992,1743572618391763712
12089600,22.481492,1743572618445042688,1743572618457132288
9642752,22.475778,1743572618507353856,1743572618516996608
10526208,22.482490,1743572618569733376,1743572618580259584
11091968,22.488086,1743572618632964608,1743572618644056576
10090496,22.500805,1743572618694787328,1743572618704877824
10052864,22.504031,1743572618757029120,1743572618767081984
10475008,22.505501,1743572618819208960,1743572618829683968
10515456,22.511764,1743572618881542144,1743572618892057600
10669056,22.508593,1743572618943479040,1743572618954148096
9853184,22.508343,1743572619006656256,1743572619016509440
8786176,22.517114,1743572619069974528,1743572619078760704
10245120,22.515554,1743572619133762816,1743572619144007936
10063872,22.524555,1743572619196485632,1743572619206549504
10727680,22.518868,1743572619258977792,1743572619269705472
9274880,22.519152,1743572619321550336,1743572619330825216
12435200,22.517124,1743572619384363520,1743572619396798720
9925888,22.516247,1743572619445340416,1743572619455266304
9565184,22.511224,1743572619507563520,1743572619517128704
12117760,22.514854,1743572619571330816,1743572619583448576
9885440,22.506467,1743572619632918784,1743572619642804224
10271232,22.499572,1743572619695831808,1743572619706103040
9335808,22.495078,1743572619758302720,1743572619767638528
9792512,22.483133,1743572619820595456,1743572619830387968
12404480,22.493113,1743572619882558976,1743572619894963456
11026432,22.487130,1743572619944190720,1743572619955217152
9427200,22.474049,1743572620006755584,1743572620016182784
10159360,22.483857,1743572620068717568,1743572620078876928
11331072,22.490294,1743572620132769536,1743572620144100608
10842624,22.490733,1743572620196317184,1743572620207159808
10098432,22.498195,1743572620259247872,1743572620269346304
12291328,22.500390,1743572620322619904,1743572620334911232
10276352,22.507310,1743572620385073408,1743572620395349760
10938112,22.499295,1743572620446217472,1743572620457155584
10351616,22.490322,1743572620508403200,1743572620518754816
9751040,22.480653,1743572620569338368,1743572620579089408
11464960,22.486353,1743572620631852800,1743572620643317760
10809088,22.488369,1743572620694796032,1743572620705605120
10159360,22.487383,1743572620757985792,1743572620768145152
16160000,22.497952,1743572620819447552,1743572620835607552
9541888,22.495030,1743572620882588160,1743572620892130048
11190528,22.502575,1743572620944389888,1743572620955580416
10675200,22.498193,1743572621006671616,1743572621017346816
12764672,22.502812,1743572621068607232,1743572621081371904
11504128,22.495841,1743572621129918464,1743572621141422592
10650624,22.492167,1743572621193560832,1743572621204211456
11012352,22.498728,1743572621254779392,1743572621265791744
10304256,22.502092,1743572621315913728,1743572621326217984
12025344,22.498859,1743572621379522304,1743572621391547648
11215104,22.499993,1743572621441713152,1743572621452928256
10276864,22.501252,1743572621504573696,1743572621514850560
11037440,22.501600,1743572621564938496,1743572621575975936
11522304,22.493865,1743572621628449792,1743572621639972096
9680128,22.490087,1743572621692221184,1743572621701901312
10268160,22.483517,1743572621753518336,1743572621763786496
11171328,22.478483,1743572621814992384,1743572621826163712
10700288,22.473184,1743572621877441536,1743572621888141824
10354688,22.474166,1743572621938216704,1743572621948571392
10141440,22.474302,1743572622000943360,1743572622011084800
10638592,22.484634,1743572622064498688,1743572622075137280
10065152,22.496477,1743572622126233600,1743572622136298752
11880704,22.497257,1743572622187717376,1743572622199598080
9725696,22.491517,1743572622250944000,1743572622260669696
10238208,22.487353,1743572622312778752,1743572622323016960
10649088,22.493728,1743572622375062272,1743572622385711360
10743296,22.493713,1743572622438701824,1743572622449445120
10304768,22.494146,1743572622500109824,1743572622510414592
9448704,22.498542,1743572622563457536,1743572622572906240
10661632,22.507701,1743572622626141952,1743572622636803584
10524416,22.504884,1743572622689249280,1743572622699773696
10475776,22.509260,1743572622752601856,1743572622763077632
11469824,22.523645,1743572622816553472,1743572622828023296
10032128,22.517076,1743572622876724480,1743572622886756608
11838208,22.519661,1743572622938660608,1743572622950498816
14031104,22.510364,1743572623000559104,1743572623014590208
